Region,Age Group,Literacy Rate
East Asia & Pacific,Adult (both),87.39911875
East Asia & Pacific,Elderly (both),70.76951116307576
East Asia & Pacific,Youth (both),94.04646496602375
Europe & Central Asia,Adult (both),99.40660411764706
Europe & Central Asia,Elderly (both),95.0814371034151
Europe & Central Asia,Youth (both),99.59935127979952
Latin America & Caribbean,Adult (both),91.69183833333334
Latin America & Caribbean,Elderly (both),75.80337032447078
Latin America & Caribbean,Youth (both),96.39382147775957
Middle East & North Africa,Adult (both),80.430038
Middle East & North Africa,Elderly (both),48.00580672776794
Middle East & North Africa,Youth (both),92.91419702410889
South Asia,Adult (both),62.25937625
South Asia,Elderly (both),41.55503375
South Asia,Youth (both),83.45935
Sub-Saharan Africa,Adult (both),57.780846595744684
Sub-Saharan Africa,Elderly (both),33.43321489361702
Sub-Saharan Africa,Youth (both),72.69200744680852
