Country Code,Country Name,Region,Age Group,Literacy Rate,Year
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),62.66,2022
ALB,Albania,Europe & Central Asia,Youth (both),99.0599975585938,2023
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),93.7699966430664,2008
ASM,American Samoa,East Asia & Pacific,Youth (both),97.6500015258789,1980
AGO,Angola,Sub-Saharan Africa ,Youth (both),80.6999969482422,2023
ARG,Argentina,Latin America & Caribbean ,Youth (both),99.6800003051758,2020
ARM,Armenia,Europe & Central Asia,Youth (both),99.8899993896484,2023
ABW,Aruba,Latin America & Caribbean ,Youth (both),99.1399993896484,2010
AZE,Azerbaijan,Europe & Central Asia,Youth (both),99.879997253418,2023
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),99.5199966430664,2024
BGD,Bangladesh,South Asia,Youth (both),93.4499969482422,2022
BRB,Barbados,Latin America & Caribbean ,Youth (both),100.0,2012
BLR,Belarus,Europe & Central Asia,Youth (both),99.870002746582,2019
BLZ,Belize,Latin America & Caribbean ,Youth (both),96.1500015258789,2022
BEN,Benin,Sub-Saharan Africa ,Youth (both),71.25,2022
BTN,Bhutan,South Asia,Youth (both),97.7300033569336,2022
BOL,Bolivia,Latin America & Caribbean ,Youth (both),99.7799987792969,2024
BIH,Bosnia and Herzegovina,Europe & Central Asia,Youth (both),99.6600036621094,2013
BWA,Botswana,Sub-Saharan Africa ,Youth (both),93.9599990844727,2003
BRA,Brazil,Latin America & Caribbean ,Youth (both),99.4599990844727,2024
BRN,Brunei Darussalam,East Asia & Pacific,Youth (both),99.370002746582,2011
BGR,Bulgaria,Europe & Central Asia,Youth (both),97.870002746582,2011
BFA,Burkina Faso,Sub-Saharan Africa ,Youth (both),62.810001373291,2022
BDI,Burundi,Sub-Saharan Africa ,Youth (both),88.3979336343743,2020
CPV,Cabo Verde,Sub-Saharan Africa ,Youth (both),98.3199996948242,2024
KHM,Cambodia,East Asia & Pacific,Youth (both),96.5697717553096,2023
CMR,Cameroon,Sub-Saharan Africa ,Youth (both),81.8899993896484,2018
CYM,Cayman Islands,Latin America & Caribbean ,Youth (both),98.9100036621094,2017
CAF,Central African Republic,Sub-Saharan Africa ,Youth (both),50.5999984741211,2019
TCD,Chad,Sub-Saharan Africa ,Youth (both),45.1300010681152,2019
CHL,Chile,Latin America & Caribbean ,Youth (both),99.3,2022
CHN,China,East Asia & Pacific,Youth (both),99.7600021362305,2020
COL,Colombia,Latin America & Caribbean ,Youth (both),98.9599990844727,2024
COM,Comoros,Sub-Saharan Africa ,Youth (both),90.8369565887889,2021
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Youth (both),77.9000015258789,2023
COG,"Congo, Rep.",Sub-Saharan Africa ,Youth (both),78.5699996948242,2005
CRI,Costa Rica,Latin America & Caribbean ,Youth (both),80.55,2018
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Youth (both),66.8399963378906,2021
HRV,Croatia,Europe & Central Asia,Youth (both),99.6500015258789,2001
CUB,Cuba,Latin America & Caribbean ,Youth (both),99.6100006103516,2019
CYP,Cyprus,Europe & Central Asia,Youth (both),99.8199996948242,2011
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),79.5520825495239,2017
DOM,Dominican Republic,Latin America & Caribbean ,Youth (both),98.2099990844727,2024
ECU,Ecuador,Latin America & Caribbean ,Youth (both),98.9899978637695,2024
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Youth (both),95.190867622614,2022
SLV,El Salvador,Latin America & Caribbean ,Youth (both),98.2399978637695,2024
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Youth (both),97.129997253418,2000
ERI,Eritrea,Sub-Saharan Africa ,Youth (both),86.9700012207031,2008
EST,Estonia,Europe & Central Asia,Youth (both),99.9499969482422,2011
SWZ,Eswatini,Sub-Saharan Africa ,Youth (both),98.6600036621094,2022
ETH,Ethiopia,Sub-Saharan Africa ,Youth (both),84.6900024414062,2022
GAB,Gabon,Sub-Saharan Africa ,Youth (both),93.9800033569336,2021
GMB,"Gambia, The",Sub-Saharan Africa ,Youth (both),67.4899978637695,2021
GEO,Georgia,Europe & Central Asia,Youth (both),99.6600036621094,2024
GHA,Ghana,Sub-Saharan Africa ,Youth (both),91.5100021362305,2021
GRC,Greece,Europe & Central Asia,Youth (both),99.4899978637695,2009
GRD,Grenada,Latin America & Caribbean ,Youth (both),98.9599990844727,1970
GUM,Guam,East Asia & Pacific,Youth (both),99.879997253418,1990
GTM,Guatemala,Latin America & Caribbean ,Youth (both),95.3600006103516,2024
GIN,Guinea,Sub-Saharan Africa ,Youth (both),53.939998626709,2018
GNB,Guinea-Bissau,Sub-Saharan Africa ,Youth (both),82.2300033569336,2022
GUY,Guyana,Latin America & Caribbean ,Youth (both),99.1399993896484,2020
HTI,Haiti,Latin America & Caribbean ,Youth (both),88.870002746582,2017
HND,Honduras,Latin America & Caribbean ,Youth (both),95.7699966430664,2024
HUN,Hungary,Europe & Central Asia,Youth (both),99.370002746582,1980
IND,India,South Asia,Youth (both),97.3386000977043,2024
IDN,Indonesia,East Asia & Pacific,Youth (both),93.79,2022
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Youth (both),98.7398624505789,2023
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),92.3870730120635,2021
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),98.5599975585938,1983
ITA,Italy,Europe & Central Asia,Youth (both),99.870002746582,2019
JAM,Jamaica,Latin America & Caribbean ,Youth (both),93.57,2022
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),98.6699981689453,2024
KAZ,Kazakhstan,Europe & Central Asia,Youth (both),99.8300018310547,2009
KEN,Kenya,Sub-Saharan Africa ,Youth (both),93.18,2014
KIR,Kiribati,East Asia & Pacific,Youth (both),90.4443406161527,2019
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Youth (both),100.0,2008
KOR,"Korea, Rep.",East Asia & Pacific,Youth (both),99.9499969482422,2008
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),99.3000030517578,2020
KGZ,Kyrgyz Republic,Europe & Central Asia,Youth (both),99.75,2009
LAO,Lao PDR,East Asia & Pacific,Youth (both),90.3899993896484,2023
LVA,Latvia,Europe & Central Asia,Youth (both),99.8399963378906,2011
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),96.6653219716309,2019
LSO,Lesotho,Sub-Saharan Africa ,Youth (both),96.4800033569336,2024
LBR,Liberia,Sub-Saharan Africa ,Youth (both),75.06,2013
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),89.3399963378906,1984
LTU,Lithuania,Europe & Central Asia,Youth (both),99.8600006103516,2011
MAC,"Macao SAR, China",East Asia & Pacific,Youth (both),99.8000030517578,2016
MDG,Madagascar,Sub-Saharan Africa ,Youth (both),82.379997253418,2021
MWI,Malawi,Sub-Saharan Africa ,Youth (both),80.7300033569336,2020
MYS,Malaysia,East Asia & Pacific,Youth (both),98.7900009155273,2022
MDV,Maldives,South Asia,Youth (both),98.7399978637695,2019
MLI,Mali,Sub-Saharan Africa ,Youth (both),50.3300018310547,2024
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",Youth (both),98.879997253418,2011
MHL,Marshall Islands,East Asia & Pacific,Youth (both),96.3527767187698,2021
MRT,Mauritania,Sub-Saharan Africa ,Youth (both),70.8600006103516,2020
MUS,Mauritius,Sub-Saharan Africa ,Youth (both),99.801014596693,2023
MEX,Mexico,Latin America & Caribbean ,Youth (both),98.9199981689453,2024
MDA,Moldova,Europe & Central Asia,Youth (both),99.8099975585938,2014
MNG,Mongolia,East Asia & Pacific,Youth (both),99.3199996948242,2024
MNE,Montenegro,Europe & Central Asia,Youth (both),97.4199981689453,2018
